timestamp,latitude,longitude,x,y,velocity_x,velocity_y,time_seconds
1418381153300352,51.760608,-1.261347,0.0,0.0,-0.00217,0.003296,0.0
1418381153500352,51.760608,-1.261347,0.0,0.0,-0.002478,0.003138,0.2
1418381153700353,51.760608,-1.261347,0.0,0.0,-0.002041,0.003217,0.400001
1418381153900354,51.760608,-1.261347,0.0,0.0,-0.001673,0.003158,0.600002
1418381154100355,51.760608,-1.261347,0.0,0.0,-0.001546,0.003452,0.800003
1418381154300356,51.760608,-1.261347,0.0,0.0,-0.001424,0.003185,1.000004
1418381154500357,51.760608,-1.261347,0.0,0.0,-0.001699,0.003488,1.200005
1418381154700357,51.760609,-1.261347,0.0,0.11119492708422385,-0.002208,0.003367,1.400005
1418381154900358,51.760608,-1.261347,0.0,0.0,-0.002294,0.003122,1.600006
1418381155100359,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002646,0.002871,1.800007
1418381155300360,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002398,0.003225,2.000008
1418381155500361,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001864,0.002099,2.200009
1418381155700361,51.760608,-1.261347,0.0,0.0,-0.002068,0.00232,2.400009
1418381155900362,51.760608,-1.261347,0.0,0.0,-0.002258,0.002593,2.60001
1418381156100363,51.760608,-1.261347,0.0,0.0,-0.001807,0.002404,2.800011
1418381156300348,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002385,0.002718,2.999996
1418381156500348,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001965,0.002031,3.199996
1418381156700349,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001358,0.00155,3.399997
1418381156900350,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000898,0.002041,3.599998
1418381157100351,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001571,0.002168,3.799999
1418381157300352,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001618,0.002054,4.0
1418381157500352,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001101,0.001878,4.2
1418381157700353,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,-0.000677,0.002406,4.400001
1418381157900354,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,-0.000296,0.001479,4.600002
1418381158100355,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.000635,0.001397,4.800003
1418381158300356,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.000603,0.001797,5.000004
1418381158500356,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.001063,0.001833,5.200004
1418381158700357,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.001371,0.002057,5.400005
1418381158900358,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.001301,0.00239,5.600006
1418381159100322,51.760608,-1.261348,-0.06882393767492942,0.0,0.001367,0.002399,5.79997
1418381159300323,51.760608,-1.261348,-0.06882393767492942,0.0,0.001422,0.00268,5.999971
1418381159500324,51.760608,-1.261348,-0.06882393767492942,0.0,0.001722,0.002687,6.199972
1418381159700324,51.760608,-1.261348,-0.06882393767492942,0.0,0.001191,0.003038,6.399972
1418381159900325,51.760608,-1.261348,-0.06882393767492942,0.0,0.001535,0.00386,6.599973
1418381160100326,51.760608,-1.261348,-0.06882393767492942,0.0,0.001357,0.003773,6.799974
1418381160300327,51.760608,-1.261348,-0.06882393767492942,0.0,0.001775,0.004243,6.999975
1418381160500328,51.760608,-1.261348,-0.06882393767492942,0.0,0.001304,0.003974,7.199976
1418381160700328,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.000723,0.004437,7.399976
1418381160900329,51.760608,-1.261348,-0.06882393767492942,0.0,0.000438,0.004192,7.599977
1418381161100228,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,9e-06,0.004269,7.799876
1418381161300228,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000761,0.003501,7.999876
1418381161500229,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,0.000622,0.003621,8.199877
1418381161700230,51.760609,-1.261348,-0.06882393767492942,0.11119492708422385,-0.000276,0.003079,8.399878
1418381161900162,51.760608,-1.261348,-0.06882393767492942,0.0,0.000756,0.002891,8.59981
1418381162100148,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000573,0.00251,8.799796
1418381162300148,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000122,0.003808,8.999796
1418381162500149,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000488,0.003024,9.199797
1418381162700149,51.760608,-1.261348,-0.06882393767492942,0.0,0.000688,0.002712,9.399797
1418381162900150,51.760608,-1.261348,-0.06882393767492942,0.0,1.5e-05,0.00298,9.599798
1418381163100151,51.760608,-1.261348,-0.06882393767492942,0.0,0.000269,0.00402,9.799799
1418381163300151,51.760608,-1.261348,-0.06882393767492942,0.0,-0.000439,0.003677,9.999799
1418381163500152,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001244,0.004352,10.1998
1418381163700153,51.760608,-1.261347,0.0,0.0,-0.001761,0.004914,10.399801
1418381163900153,51.760608,-1.261347,0.0,0.0,-0.001492,0.005626,10.599801
1418381164100154,51.760608,-1.261347,0.0,0.0,-0.001948,0.006012,10.799802
1418381164300154,51.760608,-1.261347,0.0,0.0,-0.002548,0.006374,10.999802
1418381164500155,51.760608,-1.261347,0.0,0.0,-0.002725,0.005676,11.199803
1418381164700156,51.760608,-1.261347,0.0,0.0,-0.002771,0.005685,11.399804
1418381164900156,51.760608,-1.261347,0.0,0.0,-0.002554,0.007253,11.599804
1418381165100157,51.760608,-1.261347,0.0,0.0,-0.003398,0.00734,11.799805
1418381165300157,51.760608,-1.261347,0.0,0.0,-0.003853,0.008141,11.999805
1418381165500158,51.760609,-1.261347,0.0,0.11119492708422385,-0.003259,0.007814,12.199806
