timestamp,latitude,longitude,x,y,velocity_x,velocity_y,time_seconds,noisy_x,noisy_y,observed,kf_x,kf_y,kf_vx,kf_vy,reg_x,reg_y
1418381153300352,51.760608,-1.261347,0.0,0.0,-0.00217,0.003296,0.0,-2.6225351528425476,-6.133267200244805,1,-1.4074766193857373,-3.2908598399742885,-0.2732858618177202,-0.6309300063178794,-1.3864151797619058,-3.2867308365155297
1418381153500352,51.760608,-1.261347,0.0,0.0,-0.002478,0.003138,0.2,5.042098452900375,0.4096122475238485,1,1.0316066399878476,-1.949894664059532,1.0213123885097235,0.1307255865289768,1.035351128875172,-1.987378449313862
1418381153700353,51.760608,-1.261347,0.0,0.0,-0.002041,0.003217,0.400001,-3.725160034229086,-1.1900896520948683,1,-0.4276204483738639,-1.6777448425779067,-0.31909622773352697,0.3289513248591752,-0.4129662561250856,-1.6891601128993083
1418381153900354,51.760608,-1.261347,0.0,0.0,-0.001673,0.003158,0.600002,1.5267635447618773,-4.654703780829402,1,0.16368109622731475,-2.599649192005384,0.3032337289039573,-0.6093059570282641,0.17880910716325374,-2.609582906682899
1418381154100355,51.760608,-1.261347,0.0,0.0,-0.001546,0.003452,0.800003,-4.120213026537426,1.6545193604291155,1,-1.1841707273472948,-1.3028033374969017,-1.069264212082593,0.7731398322765591,-1.1612273151369426,-1.3021077147760118
1418381154300356,51.760608,-1.261347,0.0,0.0,-0.001424,0.003185,1.000004,-2.04623939728679,3.392381319656971,1,-1.6072519908465719,0.31740217015387584,-1.2652172445825653,2.1457338529238776,-1.5806064135129385,0.27273593438055665
1418381154500357,51.760608,-1.261347,0.0,0.0,-0.001699,0.003488,1.200005,-1.1511446061253745,-0.9231345418581871,1,-1.6353653010932347,0.2169542157349844,-1.0683033684209953,1.6821037380631296,-1.6062900825097037,0.16510924952764386
1418381154700357,51.760609,-1.261347,0.0,0.11119492708422385,-0.002208,0.003367,1.400005,1.7636287405922042,4.555518586745583,1,-0.736922494140057,1.7853769685921588,-0.16723893743949048,2.6803140711406916,-0.7226139266437451,1.6914228265522855
1418381154900358,51.760608,-1.261347,0.0,0.0,-0.002294,0.003122,1.600006,2.83021853048388,2.235458271013944,1,0.29579989931388284,2.2959816853069572,0.6311175662550015,2.6612488461489083,0.3011431774053543,2.172193809069113
1418381155100359,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002646,0.002871,1.800007,-3.51238941492177,-1.7782096670085679,1,-0.692545646051763,1.5232867146579994,-0.14219003762224935,1.7558539145924423,-0.6790572504228967,1.4421977481223316
1418381155300360,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002398,0.003225,2.000008,3.505073164520861,-5.120333897005617,1,0.4212309445552186,-0.0160869263789849,0.5953676117072095,0.53507926766698,0.43488790856191895,-0.08706200430187727
1418381155500361,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001864,0.002099,2.200009,-0.6277546698076343,1.2718935616592346,1,0.2393517952880606,0.3952075690333244,0.4135462813451242,0.7189093045834465,0.24560776360525025,0.351648268133249
1418381155700361,51.760608,-1.261347,0.0,0.0,-0.002068,0.00232,2.400009,-2.5761449422954414,1.004048204405351,1,-0.39010143508233897,0.6532661286912725,0.008724337814116523,0.7838687992951733,-0.3794747042669502,0.6164355508387445
1418381155900362,51.760608,-1.261347,0.0,0.0,-0.002258,0.002593,2.60001,-1.041883111632649,3.1155610789885535,1,-0.5417102508496137,1.3510440408655564,-0.07376491932806437,1.0748755913502615,-0.5294721426304261,1.3098570372056977
1418381156100363,51.760608,-1.261347,0.0,0.0,-0.001807,0.002404,2.800011,0.5975665968811479,-2.037856011244111,1,-0.29738139935337626,0.7569431611037649,0.05885782435130152,0.6607130524886569,-0.28103279772807843,0.7064631079420254
1418381156300348,51.760608,-1.261348,-0.06882393767492942,0.0,-0.002385,0.002718,2.999996,-1.6141968305864882,-3.9378857769467386,1,-0.5716063714317181,-0.14999118720622795,-0.08123836587342395,0.1517216298875813,-0.5540338439135803,-0.18134050480837383
1418381156500348,51.760608,-1.261348,-0.06882393767492942,0.0,-0.001965,0.002031,3.199996,-1.1623931011208755,-4.752526543785625,1,-0.7067350728392258,-1.078261413357852,-0.1372649880195677,-0.30005722914743416,-0.6869732599841059,-1.0929738868397532
